日期,地区,城市,品类,渠道,销售额,销量,利润
2023-01-22,华中,武汉,美妆个护,线上,630,7,264
2023-01-01,华北,太原,电脑办公,线下,4960,8,1340
2023-01-13,华东,南京,服饰鞋包,线上,390,5,120
2023-01-05,西北,兰州,手机数码,线下,3370,1,555
2023-01-19,西北,乌鲁木齐,家用电器,线下,1640,8,370
2023-01-04,华南,厦门,服饰鞋包,线下,790,4,193
2023-01-23,华北,天津,服饰鞋包,线上,690,1,160
2023-01-15,西南,昆明,食品生鲜,线下,110,3,16
2023-01-01,东北,沈阳,手机数码,线下,4380,2,899
2023-01-18,西北,兰州,家用电器,线上,1740,8,434
2023-01-16,华东,苏州,美妆个护,线下,370,9,136
2023-01-04,华中,长沙,手机数码,线上,3460,6,598
2023-01-18,西南,重庆,食品生鲜,线下,110,3,13
2023-01-18,西北,兰州,手机数码,线下,2990,4,461
2023-01-16,西北,西安,家用电器,线上,2140,6,453
2023-01-14,华中,郑州,食品生鲜,线上,110,8,16
2023-01-24,华北,北京,电脑办公,线上,2140,8,595
2023-01-04,西南,昆明,服饰鞋包,线上,440,4,103
2023-01-03,华北,北京,美妆个护,线下,490,1,181
2023-01-19,西北,西安,服饰鞋包,线上,610,1,152
2023-01-05,华东,南京,食品生鲜,线上,120,8,15
2023-01-08,华南,深圳,服饰鞋包,线上,490,8,112
2023-01-23,西南,成都,美妆个护,线下,500,6,129
2023-01-03,西北,西安,电脑办公,线上,3730,4,763
2023-01-06,华中,郑州,家用电器,线下,1870,3,267
2023-01-17,西北,西安,手机数码,线上,2490,2,317
2023-01-06,华南,广州,食品生鲜,线下,280,5,36
2023-01-15,华南,广州,电脑办公,线上,2470,4,432
2023-01-22,华中,长沙,服饰鞋包,线上,350,6,120
2023-01-18,华中,长沙,服饰鞋包,线下,530,6,136
2023-01-07,华南,广州,服饰鞋包,线下,520,4,156
2023-01-23,华中,南昌,食品生鲜,线下,300,9,35
2023-01-03,西北,西安,美妆个护,线上,520,6,205
2023-01-12,西北,乌鲁木齐,手机数码,线下,2040,2,379
2023-01-08,华东,南京,食品生鲜,线上,130,5,13
2023-01-27,华中,长沙,电脑办公,线下,2010,5,489
2023-01-04,华中,郑州,手机数码,线下,2340,9,305
2023-01-09,东北,大连,家用电器,线上,1760,2,337
2023-01-17,西北,西安,食品生鲜,线下,140,5,21
2023-01-13,西北,乌鲁木齐,家用电器,线下,1970,7,504
2023-01-16,东北,哈尔滨,家用电器,线下,3700,6,672
2023-01-01,西南,昆明,服饰鞋包,线上,430,9,134
2023-01-04,西北,乌鲁木齐,家用电器,线下,2700,3,524
2023-01-09,西北,兰州,电脑办公,线上,3030,1,698
2023-01-13,华北,太原,服饰鞋包,线下,1030,2,281
2023-01-24,西北,乌鲁木齐,手机数码,线上,3280,5,640
2023-01-07,华南,广州,电脑办公,线下,2360,1,616
2023-01-02,华北,天津,电脑办公,线上,2050,4,423
2023-01-16,华北,北京,食品生鲜,线上,220,9,24
2023-02-05,华中,长沙,食品生鲜,线下,200,4,32
2023-02-04,西南,昆明,家用电器,线下,4410,9,787
2023-02-22,华中,郑州,家用电器,线下,2690,1,575
2023-02-10,华东,上海,服饰鞋包,线上,610,9,188
2023-02-23,西南,成都,电脑办公,线上,2520,9,408
2023-02-18,华中,长沙,家用电器,线下,4330,7,704
2023-02-07,西南,贵阳,服饰鞋包,线上,840,7,238
2023-02-20,华东,南京,电脑办公,线上,4080,8,903
2023-02-24,华南,深圳,家用电器,线上,1470,5,267
2023-02-03,东北,沈阳,美妆个护,线下,340,1,120
2023-02-02,华北,北京,食品生鲜,线下,240,8,24
2023-02-13,华东,南京,电脑办公,线下,5360,2,1051
2023-02-12,东北,大连,电脑办公,线上,4720,9,882
2023-02-21,华东,杭州,服饰鞋包,线上,910,6,231
2023-02-22,西北,乌鲁木齐,家用电器,线下,3390,2,769
2023-02-18,西北,兰州,家用电器,线下,4000,4,734
2023-02-17,华东,苏州,电脑办公,线下,4590,8,1052
2023-02-19,西北,兰州,服饰鞋包,线下,820,7,252
2023-02-04,华北,天津,电脑办公,线下,4510,7,1260
2023-02-02,西北,乌鲁木齐,电脑办公,线下,4200,2,999
2023-02-03,西北,西安,美妆个护,线上,370,2,105
2023-02-27,华南,深圳,食品生鲜,线上,280,2,44
2023-02-11,西南,贵阳,服饰鞋包,线下,1170,5,442
2023-02-01,华东,上海,食品生鲜,线下,310,8,42
2023-02-01,华北,太原,服饰鞋包,线上,490,3,161
2023-02-06,东北,哈尔滨,手机数码,线下,2920,1,424
2023-02-10,华东,上海,家用电器,线下,2670,5,418
2023-02-15,华北,天津,美妆个护,线下,610,8,170
2023-02-23,西南,重庆,电脑办公,线上,4040,8,623
2023-02-13,华东,上海,手机数码,线下,2950,8,408
2023-02-19,华中,南昌,电脑办公,线上,5700,7,1432
2023-02-14,华南,广州,家用电器,线下,4280,4,771
2023-02-25,华南,深圳,食品生鲜,线上,180,6,27
2023-02-24,华中,郑州,电脑办公,线上,4620,8,983
2023-02-08,东北,大连,服饰鞋包,线下,970,4,305
2023-02-22,西北,兰州,家用电器,线上,1770,1,291
2023-02-27,华东,杭州,食品生鲜,线下,320,6,47
2023-02-16,西南,重庆,服饰鞋包,线上,640,8,179
2023-02-03,华东,上海,家用电器,线上,3980,6,750
2023-02-19,东北,大连,服饰鞋包,线下,560,9,129
2023-02-06,西北,兰州,美妆个护,线上,640,3,217
2023-02-09,东北,沈阳,电脑办公,线上,2530,1,594
2023-02-11,华东,杭州,手机数码,线下,4770,8,725
2023-02-27,华中,武汉,家用电器,线下,2460,7,561
2023-02-09,华南,厦门,美妆个护,线上,610,6,169
2023-02-19,华东,杭州,家用电器,线上,1930,7,291
2023-02-08,华东,杭州,手机数码,线上,3320,9,432
2023-02-26,华南,厦门,家用电器,线上,3400,1,722
2023-02-14,西南,贵阳,美妆个护,线上,480,8,210
2023-02-26,华东,苏州,电脑办公,线上,3770,1,953
2023-03-08,华中,长沙,服饰鞋包,线下,580,5,186
2023-03-23,华北,北京,电脑办公,线上,2450,3,425
2023-03-24,东北,大连,家用电器,线上,3060,8,747
2023-03-23,华北,太原,服饰鞋包,线上,980,9,309
2023-03-05,华中,武汉,家用电器,线下,2380,9,346
2023-03-25,西北,兰州,电脑办公,线上,2160,5,593
2023-03-07,华中,武汉,服饰鞋包,线下,700,9,225
2023-03-13,华南,海口,电脑办公,线上,4450,3,733
2023-03-10,西南,昆明,食品生鲜,线下,220,9,26
2023-03-15,华南,广州,服饰鞋包,线下,850,6,218
2023-03-23,东北,沈阳,服饰鞋包,线上,490,1,107
2023-03-23,华北,石家庄,手机数码,线上,1440,4,228
2023-03-14,华中,长沙,电脑办公,线上,1850,5,295
2023-03-16,华北,石家庄,食品生鲜,线下,170,3,27
2023-03-04,西北,西安,手机数码,线下,4430,9,737
2023-03-16,华北,太原,手机数码,线上,1440,4,275
2023-03-21,西南,重庆,服饰鞋包,线下,1000,6,291
2023-03-03,华东,杭州,服饰鞋包,线上,810,1,240
2023-03-07,东北,大连,食品生鲜,线下,220,6,26
2023-03-27,东北,哈尔滨,服饰鞋包,线上,930,7,236
2023-03-25,华中,郑州,食品生鲜,线下,310,3,37
2023-03-16,华北,太原,家用电器,线下,2410,1,367
2023-03-14,华北,天津,服饰鞋包,线上,540,8,190
2023-03-02,华北,太原,家用电器,线下,3790,5,570
2023-03-05,西南,成都,手机数码,线下,1570,4,260
2023-03-17,华中,郑州,食品生鲜,线下,180,7,19
2023-03-05,西北,兰州,家用电器,线上,3470,5,663
2023-03-27,西北,乌鲁木齐,美妆个护,线上,600,4,165
2023-03-16,华中,南昌,服饰鞋包,线上,900,8,298
2023-03-02,华北,石家庄,家用电器,线上,1970,5,311
2023-03-17,华东,南京,美妆个护,线下,330,8,107
2023-03-16,东北,沈阳,手机数码,线上,4110,1,781
2023-03-19,华中,长沙,服饰鞋包,线下,1080,4,293
2023-03-18,华东,苏州,电脑办公,线下,5630,9,1451
2023-03-23,西南,成都,食品生鲜,线上,180,9,31
2023-03-01,华南,深圳,服饰鞋包,线上,830,7,259
2023-03-23,西南,贵阳,美妆个护,线上,520,7,197
2023-03-06,西南,重庆,服饰鞋包,线下,720,1,152
2023-03-13,西南,重庆,食品生鲜,线上,150,7,17
2023-03-09,华南,海口,食品生鲜,线下,190,1,21
2023-03-26,华东,上海,美妆个护,线上,460,2,142
2023-03-18,华东,苏州,食品生鲜,线上,270,2,32
2023-03-08,西南,成都,家用电器,线下,2310,9,393
2023-04-03,华中,长沙,美妆个护,线下,610,2,181
2023-04-27,西北,西安,服饰鞋包,线上,780,2,198
2023-04-19,东北,沈阳,服饰鞋包,线上,600,1,152
2023-04-20,西北,乌鲁木齐,电脑办公,线上,3420,2,853
2023-04-26,华南,深圳,美妆个护,线下,550,2,206
2023-04-09,华南,深圳,服饰鞋包,线下,990,9,294
2023-04-16,华北,天津,电脑办公,线上,2850,2,621
2023-04-25,华东,南京,手机数码,线上,2050,7,275
2023-04-26,西北,兰州,服饰鞋包,线上,1030,7,362
2023-04-17,西南,昆明,家用电器,线下,3380,1,546
2023-04-15,东北,哈尔滨,手机数码,线下,1890,2,266
2023-04-02,东北,大连,食品生鲜,线下,220,1,25
2023-04-27,西南,重庆,美妆个护,线上,570,6,150
2023-04-02,华北,北京,家用电器,线下,2610,5,588
2023-04-01,华北,太原,电脑办公,线下,2730,6,585
2023-04-24,西北,乌鲁木齐,电脑办公,线下,2090,5,417
2023-04-03,西南,重庆,服饰鞋包,线上,390,6,103
2023-04-27,华北,石家庄,电脑办公,线上,3960,9,1026
2023-04-18,西北,兰州,食品生鲜,线上,280,4,50
2023-04-21,西北,乌鲁木齐,手机数码,线下,2310,4,436
2023-04-23,东北,哈尔滨,美妆个护,线上,610,5,160
2023-04-09,华中,南昌,电脑办公,线上,4330,8,765
2023-04-24,华中,武汉,电脑办公,线下,4560,4,976
2023-04-05,华东,苏州,家用电器,线上,2150,1,433
2023-04-09,西南,昆明,服饰鞋包,线上,350,8,121
2023-04-05,西南,成都,服饰鞋包,线上,940,8,346
2023-04-07,西北,西安,家用电器,线下,2590,5,441
2023-04-06,华南,海口,美妆个护,线下,620,7,206
2023-04-08,西南,贵阳,食品生鲜,线下,160,7,18
2023-04-25,西南,重庆,手机数码,线上,2110,3,360
2023-04-10,华北,北京,家用电器,线下,3160,4,509
2023-04-05,华南,深圳,美妆个护,线上,390,1,96
2023-04-24,华北,天津,手机数码,线下,3530,4,522
2023-04-22,西北,乌鲁木齐,电脑办公,线下,2000,6,389
2023-05-20,西南,贵阳,食品生鲜,线下,250,7,26
2023-05-11,西北,兰州,服饰鞋包,线上,610,6,228
2023-05-20,西北,兰州,服饰鞋包,线上,420,9,109
2023-05-13,东北,沈阳,服饰鞋包,线上,770,6,234
2023-05-13,西南,重庆,美妆个护,线下,530,5,190
2023-05-20,华南,海口,美妆个护,线上,480,4,179
2023-05-18,西北,乌鲁木齐,食品生鲜,线下,180,5,20
2023-05-19,华北,石家庄,电脑办公,线上,2670,5,703
2023-05-07,东北,大连,家用电器,线上,2620,9,621
2023-05-19,华北,石家庄,食品生鲜,线上,290,9,43
2023-05-26,西南,贵阳,电脑办公,线上,4130,2,909
2023-05-19,西北,西安,美妆个护,线上,350,8,155
2023-05-12,华东,上海,手机数码,线下,3990,2,771
2023-05-26,华东,上海,电脑办公,线下,3050,1,534
2023-05-09,华中,南昌,食品生鲜,线下,160,1,25
2023-05-19,华东,南京,电脑办公,线上,2420,1,427
2023-05-22,西北,乌鲁木齐,手机数码,线下,3020,4,378
2023-05-10,西南,昆明,手机数码,线下,4200,8,572
2023-05-01,西南,昆明,手机数码,线下,2800,6,534
2023-05-12,西北,乌鲁木齐,手机数码,线下,1690,4,343
2023-05-06,华北,天津,手机数码,线上,3070,8,475
2023-05-12,华中,长沙,服饰鞋包,线下,440,2,158
2023-05-11,西北,乌鲁木齐,美妆个护,线上,500,3,142
2023-05-14,华南,深圳,服饰鞋包,线上,620,6,183
2023-05-15,华北,太原,手机数码,线下,2000,8,306
2023-05-07,东北,沈阳,手机数码,线下,2070,5,272
2023-05-09,西南,成都,服饰鞋包,线下,480,6,104
2023-05-01,华南,广州,手机数码,线上,4020,9,756
2023-05-26,西北,兰州,食品生鲜,线上,100,1,10
2023-05-16,西南,昆明,美妆个护,线下,620,9,202
2023-05-21,华中,郑州,电脑办公,线下,3830,1,718
2023-05-03,华东,苏州,食品生鲜,线上,110,3,13
2023-05-10,西南,成都,手机数码,线下,4420,4,667
2023-05-07,西北,西安,服饰鞋包,线上,410,6,159
2023-05-10,西北,兰州,美妆个护,线上,350,6,116
2023-05-13,华北,北京,服饰鞋包,线下,700,2,225
2023-05-04,华南,厦门,家用电器,线下,3710,1,866
2023-05-23,西南,成都,家用电器,线下,2810,6,609
2023-05-24,东北,哈尔滨,家用电器,线上,2890,4,574
2023-05-23,华北,太原,美妆个护,线上,450,4,128
2023-05-08,华南,深圳,服饰鞋包,线下,950,5,260
2023-05-05,华北,太原,美妆个护,线上,530,2,193
2023-05-27,华北,天津,食品生鲜,线上,270,6,36
2023-06-05,华东,杭州,手机数码,线下,5840,2,1038
2023-06-10,西北,兰州,食品生鲜,线上,420,9,49
2023-06-02,华北,北京,家用电器,线上,2360,2,504
2023-06-09,华南,深圳,家用电器,线下,4360,7,1027
2023-06-12,华中,郑州,手机数码,线上,2930,1,496
2023-06-17,西南,成都,电脑办公,线上,5980,7,1211
2023-06-25,华北,北京,服饰鞋包,线下,810,6,256
2023-06-04,西南,重庆,电脑办公,线上,6990,4,1716
2023-06-11,华中,郑州,食品生鲜,线上,170,2,26
2023-06-03,华东,南京,服饰鞋包,线上,910,1,245
2023-06-18,西北,乌鲁木齐,电脑办公,线下,4290,7,906
2023-06-01,华北,北京,电脑办公,线上,3720,8,813
2023-06-15,华东,苏州,服饰鞋包,线下,680,4,239
2023-06-15,东北,大连,手机数码,线上,4550,5,781
2023-06-05,华东,上海,食品生鲜,线下,370,5,47
2023-06-18,华东,杭州,电脑办公,线下,3420,1,655
2023-06-03,华中,长沙,家用电器,线上,3840,3,626
2023-06-17,西南,重庆,手机数码,线上,5780,9,903
2023-06-05,华东,杭州,电脑办公,线上,4850,4,817
2023-06-27,东北,哈尔滨,手机数码,线下,3170,4,419
2023-06-09,华中,长沙,家用电器,线下,4510,9,917
2023-06-13,西北,乌鲁木齐,食品生鲜,线下,350,5,59
2023-06-03,华南,深圳,手机数码,线上,4060,5,509
2023-06-16,华南,厦门,服饰鞋包,线下,1220,7,273
2023-06-10,西北,乌鲁木齐,美妆个护,线下,690,9,292
2023-06-17,华南,广州,家用电器,线上,1940,1,279
2023-06-18,西北,乌鲁木齐,电脑办公,线下,3420,3,748
2023-06-14,东北,大连,美妆个护,线下,1080,6,455
2023-06-23,东北,大连,食品生鲜,线上,420,6,46
2023-06-01,华北,天津,食品生鲜,线下,250,1,28
2023-06-16,华东,上海,美妆个护,线下,780,9,209
2023-06-09,华北,北京,美妆个护,线上,560,8,231
2023-06-21,东北,哈尔滨,手机数码,线下,2430,5,291
2023-06-04,华北,天津,美妆个护,线下,610,4,251
2023-06-19,华南,深圳,食品生鲜,线下,370,8,43
2023-06-21,华东,杭州,美妆个护,线下,550,6,182
2023-07-13,华东,上海,手机数码,线上,3980,2,824
2023-07-22,西南,昆明,服饰鞋包,线上,1140,5,426
2023-07-01,华北,太原,家用电器,线上,3670,7,586
2023-07-12,西北,西安,美妆个护,线下,480,2,135
2023-07-12,华中,武汉,家用电器,线下,2110,4,341
2023-07-09,华北,天津,电脑办公,线下,6270,3,1059
2023-07-20,西北,乌鲁木齐,家用电器,线下,2590,7,438
